Fecha,B1,B2,B3,B4,B5,B6,Comp,Reintegro
FECHA,COMBINACIÓN GANADORA,,,,,,COMP.,R.
2026-03-21 00:00:00,18,32.0,37.0,39.0,42.0,47.0,4,5
2026-03-19 00:00:00,10,17.0,18.0,30.0,34.0,45.0,6,6
2026-03-16 00:00:00,5,8.0,23.0,28.0,40.0,44.0,18,6
2026-03-14 00:00:00,1,7.0,12.0,16.0,24.0,45.0,25,4
2026-03-12 00:00:00,5,12.0,16.0,22.0,29.0,36.0,26,2
2026-03-09 00:00:00,3,7.0,26.0,39.0,42.0,44.0,32,9
2026-03-07 00:00:00,4,13.0,17.0,32.0,42.0,49.0,5,5
2026-03-05 00:00:00,5,8.0,15.0,37.0,45.0,48.0,7,5
2026-03-02 00:00:00,11,15.0,18.0,20.0,30.0,46.0,6,4
2026-02-28 00:00:00,4,5.0,6.0,12.0,24.0,47.0,1,4
2026-02-26 00:00:00,3,9.0,13.0,15.0,25.0,39.0,29,1
2026-02-23 00:00:00,4,12.0,16.0,37.0,39.0,45.0,44,9
2026-02-21 00:00:00,15,17.0,20.0,34.0,35.0,41.0,8,1
2026-02-19 00:00:00,8,25.0,38.0,40.0,47.0,48.0,20,9
2026-02-16 00:00:00,3,24.0,25.0,28.0,44.0,47.0,32,9
2026-02-14 00:00:00,10,12.0,15.0,19.0,29.0,47.0,2,5
2026-02-12 00:00:00,13,14.0,28.0,30.0,31.0,36.0,49,5
2026-02-09 00:00:00,20,25.0,27.0,33.0,40.0,44.0,7,6
2026-02-07 00:00:00,18,19.0,25.0,32.0,35.0,36.0,29,2
2026-02-05 00:00:00,5,12.0,20.0,32.0,37.0,45.0,41,6
2026-02-02 00:00:00,4,5.0,13.0,29.0,30.0,36.0,9,4
2026-01-31 00:00:00,1,10.0,19.0,32.0,33.0,36.0,9,7
2026-01-29 00:00:00,2,21.0,23.0,39.0,44.0,47.0,32,8
2026-01-26 00:00:00,1,2.0,18.0,24.0,38.0,49.0,8,4
2026-01-24 00:00:00,3,20.0,24.0,31.0,45.0,49.0,11,4
2026-01-22 00:00:00,2,5.0,9.0,14.0,22.0,36.0,34,5
2026-01-19 00:00:00,15,16.0,23.0,27.0,37.0,39.0,13,2
2026-01-17 00:00:00,2,4.0,12.0,22.0,35.0,47.0,10,5
2026-01-15 00:00:00,9,14.0,17.0,18.0,36.0,44.0,22,7
2026-01-12 00:00:00,2,16.0,18.0,20.0,43.0,46.0,19,6
2026-01-10 00:00:00,4,7.0,8.0,22.0,40.0,49.0,44,2
2026-01-08 00:00:00,4,9.0,14.0,25.0,27.0,34.0,45,0
2026-01-05 00:00:00,2,3.0,17.0,21.0,33.0,34.0,11,7
2026-01-03 00:00:00,6,15.0,20.0,22.0,26.0,36.0,18,6
2026-01-01 00:00:00,7,16.0,30.0,36.0,39.0,40.0,49,2
2025-12-29 00:00:00,13,30.0,35.0,41.0,47.0,48.0,6,1
2025-12-27 00:00:00,8,12.0,16.0,17.0,40.0,46.0,3,5
2025-12-25 00:00:00,2,13.0,22.0,32.0,43.0,47.0,3,0
2025-12-22 00:00:00,2,10.0,17.0,23.0,29.0,46.0,1,3
2025-12-20 00:00:00,6,9.0,16.0,30.0,32.0,43.0,37,5
2025-12-15 00:00:00,8,14.0,25.0,27.0,31.0,36.0,39,1
